"train_time","test_time","auc","participant"
0.2,-0.08,0.496590544871795,7
0.2,-0.08,0.54,8
0.2,-0.08,0.441185897435897,9
0.2,-0.08,0.54046875,10
0.22,-0.08,0.521241987179487,1
0.22,-0.08,0.481875,2
0.22,-0.08,0.52734375,3
0.22,-0.08,0.516298076923077,4
0.22,-0.08,0.515154503616042,5
0.22,-0.08,0.44318108974359,6
0.22,-0.08,0.508673878205128,7
0.22,-0.08,0.52765625,8
0.22,-0.08,0.474839743589744,9
0.22,-0.08,0.52,10
0.24,-0.08,0.515196314102564,1
0.24,-0.08,0.509286858974359,2
0.24,-0.08,0.52796875,3
0.24,-0.08,0.492195512820513,4
0.24,-0.08,0.50547748191979,5
0.24,-0.08,0.447636217948718,6
0.24,-0.08,0.506866987179487,7
0.24,-0.08,0.50234375,8
0.24,-0.08,0.485576923076923,9
0.24,-0.08,0.53734375,10
0.26,-0.08,0.473361378205128,1
0.26,-0.08,0.508725961538462,2
0.26,-0.08,0.51640625,3
0.26,-0.08,0.462688301282051,4
0.26,-0.08,0.501064266929652,5
0.26,-0.08,0.475645032051282,6
0.26,-0.08,0.483866185897436,7
0.26,-0.08,0.5115625,8
0.26,-0.08,0.433333333333333,9
0.26,-0.08,0.536875,10
0.28,-0.08,0.478393429487179,1
0.28,-0.08,0.488429487179487,2
0.28,-0.08,0.475625,3
0.28,-0.08,0.463874198717949,4
0.28,-0.08,0.553632478632479,5
0.28,-0.08,0.499058493589744,6
0.28,-0.08,0.492844551282051,7
0.28,-0.08,0.53671875,8
0.28,-0.08,0.431891025641026,9
0.28,-0.08,0.53703125,10
0.3,-0.08,0.475208333333333,1
0.3,-0.08,0.53041266025641,2
0.3,-0.08,0.5215625,3
0.3,-0.08,0.444975961538462,4
0.3,-0.08,0.555235042735043,5
0.3,-0.08,0.500296474358974,6
0.3,-0.08,0.472896634615385,7
0.3,-0.08,0.51671875,8
0.3,-0.08,0.492147435897436,9
0.3,-0.08,0.54890625,10
0.32,-0.08,0.47739983974359,1
0.32,-0.08,0.54046875,2
0.32,-0.08,0.4784375,3
0.32,-0.08,0.453253205128205,4
0.32,-0.08,0.589201183431953,5
0.32,-0.08,0.455749198717949,6
0.32,-0.08,0.47151842948718,7
0.32,-0.08,0.5246875,8
0.32,-0.08,0.476282051282051,9
0.32,-0.08,0.531875,10
0.34,-0.08,0.453617788461538,1
0.34,-0.08,0.543778044871795,2
0.34,-0.08,0.488125,3
0.34,-0.08,0.47645032051282,4
0.34,-0.08,0.54913708086785,5
0.34,-0.08,0.520757211538462,6
0.34,-0.08,0.452427884615385,7
0.34,-0.08,0.5159375,8
0.34,-0.08,0.458012820512821,9
0.34,-0.08,0.50375,10
0.36,-0.08,0.449383012820513,1
0.36,-0.08,0.549090544871795,2
